product_id/id,name
CHO 142.1 ,13
CHO 142.1 ,15
CHO 142.1 ,16
CHO 142.1 ,17
CHO 142.2 ,16
CHO 142.2 ,18
CHO 142.2 ,19
CHO 142.3 ,25
CHO 142.3 ,27
CHO 142.3 ,28
CHO 143.1 ,1203
CHO 143.1 ,1226
CHO 143.1 ,151226-1
CHO 143.1 ,160328-1
CHO 143.1 ,328
CHO 143.2 ,1203
CHO 143.2 ,160804-1
CHO 143.2 ,318
CHO 143.2 ,319
CHO 143.2 ,714
CHO 143.2 ,804
CHO 143.2 ,910
CHO 143.3 ,1108
CHO 143.3 ,1203
CHO 143.3 ,150910-1
CHO 143.3 ,151108-1
CHO 143.3 ,160804-1
CHO 143.3 ,804
CHO 143.4 ,1026
CHO 143.4 ,1203
CHO 143.4 ,160308-1
CHO 143.4 ,308
CHO 143.5 ,05170213-1
CHO 143.5 ,1203
CHO 143.5 ,160804-1
CHO 144.1 ,1108
CHO 144.1 ,1216
CHO 144.2 ,304
CHO 144.2 ,805
CHO 144.2 ,0820-1
CHO 144.2 ,1110
CHO 144.2 ,1112
CHO 144.3 ,805
CHO 144.3 ,0914-1
CHO 144.3 ,1108
CHO 144.5 ,805
CHO 144.5 ,1108
CHO 144.5 ,1108-2
CHO 144.6 ,706
CHO 144.6 ,1108
CHO 145.1 ,1203
CHO 145.1 ,1227
CHO 145.1 ,328
CHO 145.2 ,1227
CHO 145.2 ,16030-1
CHO 145.2 ,310
CHO 145.3 ,1227
CHO 145.3 ,718
CHO 146.1 ,706
CHO 146.1 ,908
CHO 146.1 ,1022
CHO 146.2 ,0228-2
CHO 146.2 ,615
CHO 146.2 ,1224
CHO 146.3 ,1022
CHO 146.3 ,1224
CHO 146.4 ,520
CHO 146.4 ,806
CHO 146.4 ,1022
CHO 146.4 ,1215
CHO 147.1 ,816
CHO 147.1 ,1022
CHO 147.2 ,223
CHO 147.3 ,1220
CHO 147.3 ,1220-1
CHO 147.4 ,304
CHO 147.4 ,816
CHO 147.4 ,1221
CHO 147.5 ,305
CHO 147.5 ,817
CHO 147.5 ,0817-1
CHO 147.6 ,305
CHO 148.1 ,301
CHO 148.1 ,818
CHO 148.2 ,1112
CHO 148.2 ,1216
CHO 148.3 ,0229-1
CHO 148.3 ,1106
CHO 148.3 ,1112
CHO 148.3 ,1216
CHO 148.4 ,818
CHO 148.4 ,1112
CHO 148.4 ,1216
CHO 148.4 ,1217
CHO 148.5 ,229
CHO 148.5 ,0229-1
CHO 148.5 ,1006
CHO 148.5 ,1112
CHO 148.6 ,229
CHO 148.6 ,705
CHO 148.6 ,818
CHO 148.6 ,1215
CHO 148.6 ,1216
CHO 148.7 ,626
CHO 148.7 ,925
CHO 148.7 ,1112
CHO 149.1 ,220
CHO 149.1 ,808
CHO 149.1 ,1214
CHO 149.2 ,229
CHO 149.2 ,702
CHO 149.2 ,0907-3
CHO 149.2 ,1217
CHO 149.3 ,1022
CHO 149.3 ,1112
