code,lot
CHR 106.5 ,8
CHR 107.3 ,8
CHR 109.1 ,8
CHR 109.2 ,8
CHR 110.2 ,8
CHR 113.2 ,8
CHR 113.4 ,8
CHR 114.4 ,8
CHR 116.3 ,8
CHS 604.1 ,8
CHS 604.2 ,8
CHS 606.1 ,8
CHS 607.2 ,8
CHS 608.2 ,8
CHS 609.3 ,8
CHS 610.3 ,8
CHS 612.1 ,8
CHS 613.1 ,8
CHS 613.2 ,8
CHS 613.3 ,8
CHS 614.5 ,8
CHS 615.9 ,8
CHS 617.2 ,8
CHS 621.3 ,8
CHS 622.3 ,8
CHS 623.3 ,8
GS 103205,8
HAR 63HA305,8
HAR 65EM102,8
HAR 65EM404,8
HAR 65EM406,8
LV 110128.5 ,8
TR 826150,8
CHA 325.2 ,9
CHR 103.2 ,9
CHR 106.3 ,9
CHR 107.5 ,9
CHR 109.1 ,9
CHR 109.2 ,9
CHR 109.4 ,9
CHR 109.5 ,9
CHR 109.6 ,9
CHR 110.1 ,9
CHR 111.1 ,9
CHR 111.4 ,9
CHR 111.5 ,9
CHR 111.8 ,9
CHR 112.3 ,9
CHR 113.2 ,9
CHR 113.3 ,9
CHR 114.1 ,9
CHR 114.3 ,9
CHR 118.3 ,9
CHS 605.3 ,9
CHS 607.3 ,9
CHS 608.3 ,9
CHS 608.4 ,9
CHS 609.2 ,9
CHS 610.3 ,9
CHS 613.1 ,9
CHS 613.3 ,9
CHS 613.4 ,9
CHS 614.5 ,9
CHS 615.4 ,9
CHS 615.7 ,9
CHS 615.8 ,9
CHS 617.3 ,9
CHS 619.1 ,9
CHS 622.3 ,9
HAR 65EM305,9
HAR 65EM402,9
HAR 65EM502,9
HAR 65EM506,9
LV 110128.6 ,9
TR 805108,9
TR 809206,9
TR 826163,9
CHA 309.2 ,10
CHR 104.2 ,10
CHR 106.1 ,10
CHR 106.2 ,10
CHR 106.4 ,10
CHR 107.5 ,10
CHR 109.6 ,10
CHR 111.6 ,10
CHR 113.2 ,10
CHR 113.3 ,10
CHR 113.4 ,10
CHR 113.5 ,10
CHR 114.1 ,10
CHR 118.2 ,10
CHS 608.4 ,10
CHS 609.2 ,10
CHS 613.1 ,10
CHS 613.3 ,10
CHS 615.5 ,10
CHS 616.1 ,10
CHS 617.3 ,10
CHS 620.4 ,10
HAR 63HA204,10
HAR 65EM103,10
HAR 65EM505,10
LV 110122.6 ,10
LV 110124.5 ,10
LV 110126.5 ,10
TR 801201,10
TR 805516,10
TR 826112,10
TR 826130,10
TR 826255,10
CHO 142.1 ,11
CHR 101.3 ,11
CHR 104.2 ,11
CHR 106.1 ,11
CHR 106.5 ,11
CHR 106.6 ,11
CHR 107.2 ,11
CHR 109.3 ,11
CHR 109.4 ,11
CHR 110.2 ,11
CHR 111.1 ,11
CHR 111.6 ,11
CHR 111.8 ,11
CHR 112.4 ,11
CHR 113.2 ,11
CHR 113.3 ,11
CHR 113.4 ,11
CHR 113.5 ,11
CHR 114.1 ,11
CHR 114.3 ,11
CHR 116.3 ,11
CHR 119.4 ,11
CHS 601.3 ,11
CHS 610.3 ,11
CHS 616.1 ,11
CHS 617.1 ,11
GS 103201,11
HAR 63HA101,11
HAR 63HA304,11
HAR 65EM201,11
LV 110110.1 ,11
LV 110112.2 ,11
LV 110126.8 ,11
TR 805107,11
TR 805153,11
TR 809202,11
CHA 315.3 ,12
CHA 325.5 ,12
CHO 142.1 ,12
CHR 106.3 ,12
CHR 110.2 ,12
CHR 111.8 ,12
CHR 112.4 ,12
CHR 113.3 ,12
CHR 113.4 ,12
CHR 113.5 ,12
CHR 117.3 ,12
CHR 118.3 ,12
CHR 119.3 ,12
CHR 135.3 ,12
CHS 607.3 ,12
CHS 612.2 ,12
CHS 615.2 ,12
CHS 615.6 ,12
CHS 617.1 ,12
CHS 620.2 ,12
CHS 620.4 ,12
HAR 63HA102,12
HAR 63HA404,12
HAR 65EM201,12
LV 110114.3 ,12
LV 110114.4 ,12
LV 110115.3 ,12
LV 110129.2 ,12
TR 805107,12
TR 826153,12
TR 826162,12
CHO 142.1 ,13
CHR 104.3 ,13
CHR 106.1 ,13
CHR 106.2 ,13
CHR 109.5 ,13
CHR 111.4 ,13
CHR 111.8 ,13
CHR 112.1 ,13
CHR 112.4 ,13
CHR 113.3 ,13
CHR 113.5 ,13
CHR 114.1 ,13
CHR 114.3 ,13
